permno,car,event_date,PQS,VOL,EXCH
85675,-0.019,20161202,-0.455195263,0.069406139,N
85753,0.139,20060201,-0.455782996,-0.160544647,Q
85792,-0.132,20090701,-0.570107595,-0.081361714,N
85963,0.322,20000703,-0.388758265,-0.153635706,Q
85991,0.056,20141105,-0.125374451,0.1417712,N
86021,-0.005,20041201,-0.045256062,0.151934064,N
86041,-0.159,20000106,-0.212500712,0.531395483,N
86102,0.015,20030416,-0.234901202,0.655407956,N
86111,-0.021,20071119,0.067448744,0.812231262,N
86158,-0.033,20061117,0.785661952,0.057816157,Q
86176,0.368,20001003,0.110305576,0.055531863,N
86228,-0.051,20081205,-0.417231011,0.816159133,N
86305,-0.131,20000613,-0.668385728,0.592743694,N
86339,-0.014,20120314,-0.025605554,0.030996545,N
86356,0.107,20020722,-0.230522124,0.162202537,Q
86496,0.126,20000131,-0.564866488,1.306162739,Q
86580,0.117,20011130,-0.478621335,0.077107394,Q
86725,-0.174,20081124,-0.159864536,0.487845073,Q
86756,0.093,20010514,-0.877836384,0.374347615,N
86783,0.192,20091106,0.029396975,0.302002234,Q
86799,0.132,20060628,0.259637304,0.257011106,N
86845,-0.095,20060606,-0.056595789,0.207386964,N
86868,0.118,20020722,0.177426443,0.485952925,N
86946,-0.097,20020904,0.45579349,0.373527322,N
86964,-0.161,20101220,-0.377376234,0.341701405,Q
86979,0.057,20060602,0.116545872,-0.19396519,Q
87070,-0.011,20070215,0.194968747,0.287681817,Q
87137,0.022,20000830,-0.358647272,0.233568294,A
87184,-0.086,20090727,-0.417522,-0.079276874,N
87267,0.013,20110404,-0.587270949,-0.080182186,N
87299,-0.192,20070712,0.282029469,0.296390086,Q
87447,0.071,20020722,-0.181624534,0.989548986,N
87536,-0.024,20010628,0.002568989,-0.229369825,N
87541,-0.049,20170726,-0.258989299,0.241566517,N
87657,-0.124,20110401,-0.425991238,0.212508101,N
87717,0.014,20071010,-0.002918872,-0.093600247,Q
87842,0.055,20001211,0.012095484,0.344256839,N
88031,-0.127,20120629,0.155934183,0.469688741,Q
88352,-0.147,20080602,-0.145958648,-0.356446655,Q
88446,0.135,20151119,-0.317014113,-0.188657503,Q
88590,-0.052,20081202,-0.165246426,0.316007959,N
88661,0.022,20040901,-0.120784503,-0.043312274,N
88668,0.284,20020814,-0.102965234,0.411406833,N
88860,-0.023,20170619,-0.11687779,-0.054302796,Q
88873,-0.003,20160425,-0.113475477,-0.253918103,N
88991,0.065,20061120,-0.21201484,-0.210858262,N
89002,-0.031,20131223,-0.375533001,0.707883038,N
89003,-0.025,20061110,-0.327808978,0.58655255,N
89004,-0.142,20090605,-0.579190337,-0.253500716,N
89006,0.045,20070402,-0.012854663,2.952063504,N
89105,-0.021,20110228,-0.44891286,0.289414695,Q
89179,-0.01,20020725,0.014530012,-0.221854269,N
89195,-0.028,20020722,0.572963985,-0.00647699,N
