gvkey,year,leverage,mtbe,own
1602,1993,.102656267,5.668497978,.0087783076
9465,1993,.056453833,3.267980824,.00023552091
9563,1993,.113042051,1.836232332,.000450822
1651,1993,.148322619,2.944880904,.066368654
2991,1993,.11751497,2.027578079,.00020740836
1690,1993,0,1.339797474,.0004800969
10156,1993,.123050847,1.579542906,.00021447655
1704,1993,.108088902,4.228569949,.0055666743
10482,1993,.231240141,1.83656866,.00043744501
10581,1993,.101221477,1.502672141,.0009002813
10855,1993,.265720007,1.831539107,.0008709206
11038,1993,.374756862,2.571447439,.0017985712
10884,1993,.524811247,1.014801866,.47185305
1766,1993,0,3.560978408,.26301476
7017,1993,.392282066,1.559565633,.00030974031
10974,1993,.056641579,12.27289501,.01225322
11228,1993,.094603779,2.423825116,.0030297944
11436,1993,.178622193,4.796997107,4.7930580e-06
11584,1993,.073154801,2.532275686,.00043887098
11609,1993,0,8.929608367,.19416659
1837,1993,.244619512,1.900457237,.0011068813
10332,1993,.057978335,2.120287186,.0015475261
10499,1993,.115801769,2.491092657,.0005157612
10857,1993,.198549797,2.358885942,.0014832312
1478,1993,.111778137,5.183590626,.00040891516
1849,1993,.286479744,5.225290665,.020610692
9846,1993,.302134902,1.50329211,7.6194897e-06
5169,1993,.164651236,9.185776432999999,.002440843
5234,1993,.126349854,2.99291855,.00068144395
2005,1993,.028716433,1.242319615,.0043033245
2006,1993,.183023853,1.863634592,.025095182
2316,1993,.320479376,9.772614883999999,.00049880741
5597,1993,.058056643,3.039653937,.0021589096
6502,1993,.922898387,-.880776908,.0039225286
8272,1993,.249106505,1.948935185,.00032069979
2034,1993,.099693288,2.478870867,.0011833151
7241,1993,.08534009,1.920801972,.0016518119
2080,1993,0,1.625478148,.01161026
5071,1993,.27262759,7.538112404,.0026011325
7163,1993,.245631311,4.060251041,.002109305
1755,1993,.199348979,-1.278062876,.0018938849
3619,1993,.211411226,2.971024225,.0015199122
6435,1993,.146237874,3.39790539,.0001735
2176,1993,.057172346,1.844089021,.43822497
8536,1993,.147084988,1.700404505,.0015490778
2190,1993,.187093791,4.194399835,.0028155346
10983,1993,.12415162,2.17201612,.0023568033
2201,1993,.272312312,1.97744482,.068437099
2393,1993,.114310623,2.657065547,.02685762
5589,1993,.100213443,3.387644925,.0059151505
9514,1993,.357156873,1.940892356,.00043191499
11678,1993,.303897033,1.648444882,.0073375576
2230,1993,0,3.122549911,.046182103
4864,1993,.219654955,2.987471762,.0013838911
6701,1993,.253254214,3.519453505,.0015301165
8762,1993,.207499499,4.851013684,.00050942611
10092,1993,.070220728,.972704865,.0031900788
5693,1993,.109610491,2.54141568,.001126769
7536,1993,.173842593,2.980644133,.0012705158
8446,1993,.198065999,2.426413707,.00071927602
9850,1993,.286038327,1.845176166,.00012035876
3091,1993,.204374535,3.39891685,.0070277066
2817,1993,.26305126,4.122654843,.00022712971
2281,1993,.094601148,1.45822497,.00035313948
