yyyymmdd,yyyy,deal_value,public,private,tender_offer,all_stock,carbidder,bidder_size,sigma_bidder,run_up_bidder,hostile,horz,relsize,bidder_mtb,bidder_fcf,bidder_lev
20140310,2014,39.099998,0,1,0,0,0.1057102,289795.31,0.066086203,0.86843061,0,0,0.14535315,6.0826678,-0.32185909,0
20140302,2014,203.46001,0,1,0,1,0.070577301,1009988,0.0135668,0.90833908,0,1,0.14051105,1.5527362,0.033937488,0.50199872
20140224,2014,1704.65,1,0,0,1,0.13658489,1397608,0.0224309,0.88160419,0,1,1.2316835,2.7041287,0.013736646,0.0000196
20140220,2014,1443.61,1,0,0,1,0.019441901,3390495,0.016322499,0.88788521,0,1,0.39967054,1.5172665,-0.000756476,0.51387691
20140219,2014,19467.711,0,1,0,0,0.034070801,103000000,0.032141201,2.0777049,0,0,0.13276215,7.9137192,0.083822295,0.013243923
20140218,2014,25439.73,1,0,0,1,0.091228001,27800000,0.0167359,1.649333,0,1,0.78651202,1.8681934,-0.033050396,0.37478822
20140214,2014,1486.92,1,0,1,0,0.041830398,2010771,0.0117858,1.1751699,0,0,0.73755956,1.9986198,0.073257953,0.061599266
20140213,2014,103.36,1,0,0,0,0.017332301,241294.59,0.0194893,0.76350969,0,0,0.34801346,1.3821719,0.083180569,0.00037116
20140210,2014,5.23,0,1,0,1,0.0384738,43343.621,0.054853201,1.244931,0,1,0.061529413,0.99430054,-0.38877827,0
20140210,2014,396.57999,1,0,0,0,0.054069299,8591318,0.0127372,1.075573,0,1,0.044108551,2.8233423,0.097177222,0.24664436
20140204,2014,1105.87,1,0,0,0,0.075316697,1483074,0.0144713,0.96231341,0,0,0.7134645,1.9723408,0.085143961,0
20140203,2014,111,0,1,0,0,-0.0840891,819226.69,0.0164438,0.87029862,0,0,0.13074204,1.9348538,0.034172211,0.25541314
20140130,2014,36,0,1,0,0,-0.0118482,1408260,0.014494,1.136506,0,1,0.025316456,2.006681,-0.2780959,0.26922104
20140129,2014,135,0,1,0,0,0.024186101,1614499,0.022019399,0.88588607,0,0,0.084375001,1.7262088,0.20880157,0.13250975
20140128,2014,2106.47,1,0,0,1,0.024740299,4535780,0.0143756,0.88398051,0,0,0.45574859,1.9465067,0.036867306,0.31527543
20140122,2014,1540,0,1,0,0,-0.0062924,10300000,0.021012099,0.92479879,0,1,0.040008314,3.5789413,0.082258455,0.036505233
20140113,2014,356.47,0,1,0,0,0.0733523,4003679,0.017418601,1.314052,0,0,0.090040416,1.8407248,0.053041097,0.28933617
20140113,2014,42.700001,0,1,0,0,0.1518314,257830.7,0.041698299,1.641709,0,1,0.10215311,7.1024251,-0.87157863,0.088308178
20140108,2014,27,0,1,0,0,0.0188898,2242270,0.027654899,1.345208,0,0,0.013024602,2.020246,0.074479848,0.14212985
20140106,2014,820,1,0,0,0,0.080145903,2033363,0.0129284,1.070347,0,1,0.39863878,1.4253284,0.029897276,0.030766087
20140106,2014,318.06,1,0,0,0,0.0577714,602446.69,0.023817001,1.232461,0,1,0.45243242,1.4995098,-0.062198732,0.23280115
20140106,2014,24,0,1,0,0,-0.027505901,819666,0.020210501,1.396107,0,0,0.025559105,2.2857509,0.076486625,0.00018023
20131226,2013,1400,0,1,0,0,0.020692499,8154281,0.018251499,0.95452923,0,0,0.14976466,1.2864735,0.044579145,0.21599019
20131223,2013,120.92,1,0,0,0,0.051516,547169.5,0.021685399,1.389997,0,1,0.22065693,0.94776559,-0.33558324,0.27714244
20131223,2013,48,0,1,0,0,0.0545922,969149.69,0.033910599,1.059715,0,0,0.056206089,1.6336404,0.006163172,0.33798468
20131220,2013,1599.5601,1,0,1,0,0.0796609,150000000,0.0143817,0.8590852,0,1,0.010076857,2.3725843,0.13490686,0.22605486
20131219,2013,993.66998,0,1,0,0,0.1591401,1801836,0.018917,1.051726,0,0,0.54033172,1.7247642,0.022464184,0.17834283
20131217,2013,40.279999,1,0,0,1,0.0604208,491999.59,0.041772299,1.309049,0,0,0.10044888,0.70615751,0.044896569,0.064152941
20131216,2013,6685.5098,1,0,0,0,0.1734605,11000000,0.0179394,1.0743819,0,1,0.2790862,2.9878075,0.19671558,0.000698812
20131213,2013,44.209999,1,0,0,0,0.0445651,912842,0.0310947,0.87135643,0,0,0.059422042,1.2155733,-0.10645716,0.005164877
20131212,2013,218.62,1,0,0,0,0.039523099,672808.5,0.0208095,1.213434,0,0,0.28615183,1.2374578,0.032155327,0.10333375
20131202,2013,105,0,1,0,0,-0.065676503,1769105,0.023279101,1.168239,0,0,0.057883132,1.4930016,0.038845342,0.37939894
